participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P04,hand-grip,0,225,70,230.03,8287,5.03,1,5,4
P04,hand-grip,1,315,70,152.59,9852,162.41,0,3,3
P04,hand-grip,2,270,100,36.87,10968,126.87,0,3,3
P04,hand-grip,3,180,70,163.91,14234,16.09,1,4,3
P04,hand-grip,4,135,100,114.67,9894,20.33,1,5,5
P04,hand-grip,5,45,100,88.74,8734,43.74,0,5,5
P04,hand-grip,6,180,100,139.59,9502,40.41,0,5,4
P04,hand-grip,7,90,100,88.04,8952,1.96,1,6,6
P04,hand-grip,8,90,70,90.49,9420,0.49,1,6,6
P04,hand-grip,9,270,70,141.06,8272,128.94,0,3,3
P04,hand-grip,10,225,100,180.22,9989,44.78,0,5,5
P04,hand-grip,11,0,100,119.07,6349,119.07,0,6,5
P04,hand-grip,12,135,70,117.80,11557,17.20,1,4,4
P04,hand-grip,13,45,70,35.56,8439,9.44,1,5,4
P04,hand-grip,14,0,70,19.67,7020,19.67,1,6,6
P04,hand-grip,15,315,100,355.59,6951,40.59,0,6,5
