participantId,method,trialIndex,trueDirection,dutyCycle,responseAngle,responseTimeMs,error,isCorrect,clarity,confidence
P08,wrist-worn,0,180,70,179.21,6047,0.79,1,6,6
P08,wrist-worn,1,45,70,28.67,8321,16.33,1,5,4
P08,wrist-worn,2,0,70,65.30,17001,65.30,0,4,2
P08,wrist-worn,3,45,100,83.31,10645,38.31,0,4,2
P08,wrist-worn,4,225,100,247.72,9354,22.72,1,3,2
P08,wrist-worn,5,270,70,94.62,10078,175.38,0,2,2
P08,wrist-worn,6,225,70,176.34,8669,48.66,0,5,5
P08,wrist-worn,7,270,100,64.65,6604,154.65,0,5,4
P08,wrist-worn,8,315,100,0.81,8748,45.81,0,6,5
P08,wrist-worn,9,315,70,326.91,10747,11.91,1,5,3
P08,wrist-worn,10,90,70,247.92,11818,157.92,0,5,3
P08,wrist-worn,11,135,100,155.29,6921,20.29,1,5,5
P08,wrist-worn,12,0,100,310.62,13105,49.38,0,5,4
P08,wrist-worn,13,180,100,226.06,14311,46.06,0,4,4
P08,wrist-worn,14,135,70,174.92,11618,39.92,0,5,5
P08,wrist-worn,15,90,100,81.72,6257,8.28,1,6,4
